variant,roc_auc_mean,roc_auc_std,accuracy_mean,f1_mean
tabular_only,0.4775148130488182,0.0721898520287623,0.5767195767195767,0.4169600938967137
tabular_kg,0.4910729725640272,0.0703741028459984,0.5576719576719578,0.3349358974358974
tabular_image,0.5182648984565122,0.0479282708461861,0.5523809523809523,0.2543238993710692
tabular_text,0.5190439793601304,0.0916660458618813,0.5915343915343915,0.409957627118644
tabular_image_text_kg,0.4961719600594859,0.0943911606026898,0.5608465608465609,0.4101903387617673
