epoch,tr_loss,vl_loss,tr_f1,vl_f1,vl_roc_auc,vl_prob_min,vl_prob_mean,vl_prob_max,vl_prob_range,vl_pred_pos_rate,vl_true_pos_rate,lr
1,0.6931,0.6925,0.0000,0.0000,0.4820,0.4891,0.4910,0.4922,0.0031,0.0000,0.4881,1.0e-3
2,0.6890,0.6920,0.6120,0.6620,0.4795,0.5102,0.5115,0.5120,0.0018,1.0000,0.4881,1.0e-3
5,0.6810,0.6931,0.6150,0.6620,0.4650,0.5210,0.5222,0.5230,0.0020,1.0000,0.4881,1.0e-3
25,0.6550,0.6980,0.6200,0.6620,0.4310,0.5510,0.5535,0.5560,0.0050,1.0000,0.4881,1.0e-3
50,0.6200,0.7100,0.6310,0.6620,0.4100,0.5810,0.5840,0.5870,0.0060,1.0000,0.4881,1.0e-3
