epoch,tr_loss,vl_loss,tr_f1,vl_f1,vl_roc_auc,vl_prob_min,vl_prob_mean,vl_prob_max,vl_prob_range,vl_pred_pos_rate,vl_true_pos_rate,lr
1,0.6910,0.6905,0.4100,0.5200,0.5100,0.4200,0.4850,0.5600,0.1400,0.2200,0.4881,1.0e-3
2,0.6850,0.6880,0.5500,0.5800,0.5350,0.3800,0.4900,0.6100,0.2300,0.3500,0.4881,1.0e-3
5,0.6700,0.6850,0.5800,0.5910,0.5510,0.3100,0.4850,0.6500,0.3400,0.4100,0.4881,1.0e-3
25,0.6100,0.6800,0.6200,0.5950,0.5600,0.2800,0.4900,0.7000,0.4200,0.4800,0.4881,1.0e-3
50,0.5500,0.6820,0.6800,0.5850,0.5610,0.2700,0.4920,0.7100,0.4400,0.4850,0.4881,1.0e-3
